Year,USA
1988,1183.1
1989,1215.8
1990,1212.4
1991,1099.3
1992,1185.2
1993,1144.7
1994,1096.4
1995,1049.7
1996,1009.7
1997,1015.4
1998,995.4
1999,1007.6
2000,1069.9
2001,1097.9
2002,1240.7
2003,1431.7
2004,1588.4
2005,1705.5
2006,1771.7
2007,1852.9
2008,2047.4
2009,2184.3
2010,2262.1
2011,2286.9
2012,2185.5
2013,2027.4
2014,1919.7
2015,1863.2
2016,1862.6
2017,1879.3
